municipio,confirmados,mortes
TOTAL NO ESTADO,223489,5275
Importados/Indefinidos,,
Açailândia,3978,116
Afonso Cunha,152,2
Água Doce Do Maranhão,662,7
Alcântara,202,8
Aldeias Altas,973,11
Altamira Do Maranhão,275,7
Alto Alegre Do Maranhão,555,18
Alto Alegre Do Pindaré,1665,25
Alto Parnaíba,604,5
Amapá Do Maranhão,41,0
Amarante Do Maranhão,1181,32
Anajatuba,535,14
Anapurus,827,10
Apicum-Açu,239,3
Araguanã,624,4
Araioses,591,10
Arame,968,24
Arari,381,15
Axixá,158,4
Bacabal,3817,90
Bacabeira,204,4
Bacuri,429,4
Bacurituba,99,1
Balsas,7553,91
Barão De Grajaú,185,1
Barra Do Corda,4344,48
Barreirinhas,1446,29
Bela Vista Do Maranhão,166,9
Belágua,279,2
Benedito Leite,255,2
Bequimão,265,13
Bernardo Do Mearim,173,3
Boa Vista Do Gurupi,14,3
Bom Jardim,1044,31
Bom Jesus Das Selvas,2114,19
Bom Lugar,324,6
Brejo,722,18
Brejo De Areia,278,6
Buriti,730,6
Buriti Bravo,1068,10
Buriticupu,2681,27
Buritirana,248,15
Cachoeira Grande,191,4
Cajapió,62,3
Cajari,132,4
Campestre Do Maranhão,661,20
Cândido Mendes,92,5
Cantanhede,409,4
Capinzal Do Norte,500,3
Carolina,496,8
Carutapera,465,18
Caxias,6452,119
Cedral,167,0
Central Do Maranhão,30,1
Centro Do Guilherme,362,3
Centro Novo Do Maranhão,676,7
Chapadinha,2981,70
Cidelândia,467,2
Codó,2007,120
Coelho Neto,1591,40
Colinas,2574,40
Conceição Do Lago-Açu,174,9
Coroatá,2180,48
Cururupu,739,6
Davinópolis,342,14
Dom Pedro,585,7
Duque Bacelar,619,10
Esperantinópolis,654,17
Estreito,3150,32
Feira Nova Do Maranhão,1288,5
Fernando Falcão,793,1
Formosa Da Serra Negra,1002,2
Fortaleza Dos Nogueiras,816,8
Fortuna,1032,5
Godofredo Viana,90,3
Gonçalves Dias,606,8
Governador Archer,283,2
Governador Edison Lobão,576,14
Governador Eugênio Barros,478,7
Governador Luiz Rocha,179,1
Governador Newton Bello,582,4
Governador Nunes Freire,731,8
Graça Aranha,123,2
Grajaú,3428,66
Guimarães,238,6
Humberto De Campos,1264,7
Icatu,217,7
Igarapé Do Meio,368,11
Igarapé Grande,1197,11
Imperatriz,11119,490
Itaipava Do Grajaú,540,6
Itapecuru-Mirim,1176,22
Itinga Do Maranhão,685,21
Jatobá,84,5
Jenipapo Dos Vieiras,963,14
João Lisboa,395,30
Joselândia,488,1
Junco Do Maranhão,264,1
Lago Da Pedra,1706,55
Lago Do Junco,311,3
Lago Dos Rodrigues,458,9
Lago Verde,535,8
Lagoa Do Mato,750,2
Lagoa Grande Do Maranhão,191,4
Lajeado Novo,332,9
Lima Campos,891,8
Loreto,507,4
Luís Domingues,325,1
Magalhães De Almeida,440,4
Maracaçumé,541,6
Marajá Do Sena,179,3
Maranhãozinho,510,5
Mata Roma,349,10
Matinha,309,5
Matões,743,11
Matões Do Norte,235,1
Milagres Do Maranhão,239,1
Mirador,870,7
Miranda Do Norte,516,16
Mirinzal,155,8
Monção,1330,18
Montes Altos,610,6
Morros,179,8
Nina Rodrigues,353,4
Nova Colinas,281,4
Nova Iorque,73,0
Nova Olinda Do Maranhão,373,6
Olho D'Água Das Cunhãs,569,13
Olinda Nova Do Maranhão,355,8
Paço Do Lumiar,742,101
Palmeirândia,38,6
Paraibano,692,12
Parnarama,843,6
Passagem Franca,1187,15
Pastos Bons,667,6
Paulino Neves,168,3
Paulo Ramos,918,23
Pedreiras,2122,45
Pedro Do Rosário,90,4
Penalva,390,9
Peri-Mirim,192,4
Peritoró,373,7
Pindaré-Mirim,781,18
Pinheiro,2434,46
Pio Xii,961,7
Pirapemas,289,4
Poção De Pedras,1180,6
Porto Franco,1143,24
Porto Rico Do Maranhão,219,2
Presidente Dutra,1573,12
Presidente Juscelino,30,0
Presidente Médici,292,2
Presidente Sarney,181,9
Presidente Vargas,120,1
Primeira Cruz,52,2
Raposa,492,16
Riachão,1343,13
Ribamar Fiquene,275,10
Rosário,394,14
Sambaíba,311,3
Santa Filomena Do Maranhão,50,0
Santa Helena,1687,10
Santa Inês,5330,97
Santa Luzia,3745,35
Santa Luzia Do Paruá,682,4
Santa Quitéria Do Maranhão,462,17
