municipio,confirmados,mortes
TOTAL NO ESTADO,135736,3247
Importados/Indefinidos,855,17
Acari,370,7
Açu,2637,84
Afonso Bezerra,218,11
Água Nova,194,2
Alexandria,518,9
Almino Afonso,129,4
Alto Do Rodrigues,756,19
Angicos,202,6
Antônio Martins,134,2
Apodi,3567,48
Areia Branca,1089,57
Arês,410,11
Campo Grande,184,3
Baía Formosa,198,6
Baraúna,662,17
Barcelona,40,3
Bento Fernandes,42,2
Bodó,55,0
Bom Jesus,356,6
Brejinho,472,5
Caiçara Do Norte,132,3
Caiçara Do Rio Do Vento,110,3
Caicó,6324,70
Campo Redondo,309,4
Canguaretama,490,19
Caraúbas,1151,13
Carnaúba Dos Dantas,261,5
Carnaubais,276,6
Ceará-Mirim,1075,50
Cerro Corá,131,4
Coronel Ezequiel,162,3
Coronel João Pessoa,54,2
Cruzeta,922,6
Currais Novos,1751,21
Doutor Severiano,403,8
Encanto,302,10
Equador,57,0
Espírito Santo,245,6
Extremoz,1044,33
Felipe Guerra,452,8
Fernando Pedroza,152,1
Florânia,393,7
Francisco Dantas,127,1
Frutuoso Gomes,169,0
Galinhos,177,0
Goianinha,855,11
Governador Dix-Sept Rosado,594,10
Grossos,456,5
Guamaré,821,23
Ielmo Marinho,185,4
Ipanguaçu,377,14
Ipueira,69,0
Itajá,326,5
Itaú,110,5
Jaçanã,449,2
Jandaíra,240,2
Janduís,233,4
Januário Cicco,100,3
Japi,59,1
Jardim De Angicos,28,0
Jardim De Piranhas,1015,22
Jardim Do Seridó,625,6
João Câmara,857,9
João Dias,71,1
José Da Penha,162,1
Jucurutu,1321,19
Jundiá,161,3
Lagoa D'Anta,159,5
Lagoa De Pedras,83,6
Lagoa De Velhos,107,4
Lagoa Nova,225,2
Lagoa Salgada,170,3
Lajes,276,1
Lajes Pintadas,160,3
Lucrécia,146,0
Luís Gomes,207,2
Macaíba,1633,88
Macau,415,24
Major Sales,139,5
Marcelino Vieira,358,5
Martins,158,0
Maxaranguape,209,2
Messias Targino,249,4
Montanhas,174,6
Monte Alegre,395,4
Monte Das Gameleiras,71,1
Mossoró,12202,286
Natal,37872,1285
Nísia Floresta,983,12
Nova Cruz,607,24
Olho-D'Água Do Borges,410,1
Ouro Branco,167,1
Paraná,183,1
Paraú,250,5
Parazinho,154,3
Parelhas,427,5
Parnamirim,12602,224
Passa E Fica,415,1
Passagem,90,2
Patu,828,18
Pau Dos Ferros,2129,9
Pedra Grande,170,1
Pedra Preta,16,0
Pedro Avelino,101,2
Pedro Velho,187,4
Pendências,457,19
Pilões,139,0
Poço Branco,322,6
Portalegre,268,5
Porto Do Mangue,144,5
Pureza,152,2
Rafael Fernandes,265,2
Rafael Godeiro,212,0
Riacho Da Cruz,177,4
Riacho De Santana,102,0
Riachuelo,232,5
Rio Do Fogo,108,6
Rodolfo Fernandes,224,5
Ruy Barbosa,85,1
Santa Cruz,1699,26
Santa Maria,164,5
Santana Do Matos,235,2
Santana Do Seridó,96,0
Santo Antônio,590,20
São Bento Do Norte,103,0
São Bento Do Trairí,84,2
São Fernando,181,4
São Francisco Do Oeste,224,4
São Gonçalo Do Amarante,3256,87
São João Do Sabugi,286,6
São José De Mipibu,1888,24
São José Do Campestre,529,11
São José Do Seridó,288,0
São Miguel,985,9
São Miguel Do Gostoso,260,11
São Paulo Do Potengi,424,19
São Pedro,204,6
São Rafael,320,7
São Tomé,361,6
São Vicente,217,0
Senador Elói De Souza,82,1
Senador Georgino Avelino,59,2
Serra Caiada,308,6
Serra De São Bento,80,1
Serra Do Mel,313,9
Serra Negra Do Norte,366,7
Serrinha,62,2
Serrinha Dos Pintos,232,1
Severiano Melo,276,8
Sítio Novo,69,3
Taboleiro Grande,79,3
Taipu,244,6
Tangará,176,7
Tenente Ananias,406,6
Tenente Laurentino Cruz,139,0
Tibau,262,5
Tibau Do Sul,786,5
Timbaúba Dos Batistas,94,0
Touros,501,23
Triunfo Potiguar,154,2
Umarizal,613,11
Upanema,450,10
Várzea,133,6
Venha-Ver,24,3
Vera Cruz,239,9
Viçosa,186,1
Vila Flor,124,0
