municipio,confirmados,mortes
Importados/Indefinidos,,
TOTAL NO ESTADO,223489.0,5275.0
AÇAILÂNDIA,3978.0,116.0
AFONSO CUNHA,152.0,2.0
ÁGUA DOCE DO MARANHÃO,662.0,7.0
ALCÂNTARA,202.0,8.0
ALDEIAS ALTAS,973.0,11.0
ALTAMIRA DO MARANHÃO,275.0,7.0
ALTO ALEGRE DO MARANHÃO,555.0,18.0
ALTO ALEGRE DO PINDARÉ,1665.0,25.0
ALTO PARNAÍBA,604.0,5.0
AMAPÁ DO MARANHÃO,41.0,0.0
AMARANTE DO MARANHÃO,1181.0,32.0
ANAJATUBA,535.0,14.0
ANAPURUS,827.0,10.0
APICUM-AÇU,239.0,3.0
ARAGUANÃ,624.0,4.0
ARAIOSES,591.0,10.0
ARAME,968.0,24.0
ARARI,381.0,15.0
AXIXÁ,158.0,4.0
BACABAL,3817.0,90.0
BACABEIRA,204.0,4.0
BACURI,429.0,4.0
BACURITUBA,99.0,1.0
BALSAS,7553.0,91.0
BARÃO DE GRAJAÚ,185.0,1.0
BARRA DO CORDA,4344.0,48.0
BARREIRINHAS,1446.0,29.0
BELA VISTA DO MARANHÃO,166.0,9.0
BELÁGUA,279.0,2.0
BENEDITO LEITE,255.0,2.0
BEQUIMÃO,265.0,13.0
BERNARDO DO MEARIM,173.0,3.0
BOA VISTA DO GURUPI,14.0,3.0
BOM JARDIM,1044.0,31.0
BOM JESUS DAS SELVAS,2114.0,19.0
BOM LUGAR,324.0,6.0
BREJO,722.0,18.0
BREJO DE AREIA,278.0,6.0
BURITI,730.0,6.0
BURITI BRAVO,1068.0,10.0
BURITICUPU,2681.0,27.0
BURITIRANA,248.0,15.0
CACHOEIRA GRANDE,191.0,4.0
CAJAPIÓ,62.0,3.0
CAJARI,132.0,4.0
CAMPESTRE DO MARANHÃO,661.0,20.0
CÂNDIDO MENDES,92.0,5.0
CANTANHEDE,409.0,4.0
CAPINZAL DO NORTE,500.0,3.0
CAROLINA,496.0,8.0
CARUTAPERA,465.0,18.0
CAXIAS,6452.0,119.0
CEDRAL,167.0,0.0
CENTRAL DO MARANHÃO,30.0,1.0
CENTRO DO GUILHERME,362.0,3.0
CENTRO NOVO DO MARANHÃO,676.0,7.0
CHAPADINHA,2981.0,70.0
CIDELÂNDIA,467.0,2.0
CODÓ,2007.0,120.0
COELHO NETO,1591.0,40.0
COLINAS,2574.0,40.0
CONCEIÇÃO DO LAGO-AÇU,174.0,9.0
COROATÁ,2180.0,48.0
CURURUPU,739.0,6.0
DAVINÓPOLIS,342.0,14.0
DOM PEDRO,585.0,7.0
DUQUE BACELAR,619.0,10.0
ESPERANTINÓPOLIS,654.0,17.0
ESTREITO,3150.0,32.0
FEIRA NOVA DO MARANHÃO,1288.0,5.0
FERNANDO FALCÃO,793.0,1.0
FORMOSA DA SERRA NEGRA,1002.0,2.0
FORTALEZA DOS NOGUEIRAS,816.0,8.0
FORTUNA,1032.0,5.0
GODOFREDO VIANA,90.0,3.0
GONÇALVES DIAS,606.0,8.0
GOVERNADOR ARCHER,283.0,2.0
GOVERNADOR EDISON LOBÃO,576.0,14.0
GOVERNADOR EUGÊNIO BARROS,478.0,7.0
GOVERNADOR LUIZ ROCHA,179.0,1.0
GOVERNADOR NEWTON BELLO,582.0,4.0
GOVERNADOR NUNES FREIRE,731.0,8.0
GRAÇA ARANHA,123.0,2.0
GRAJAÚ,3428.0,66.0
GUIMARÃES,238.0,6.0
HUMBERTO DE CAMPOS,1264.0,7.0
ICATU,217.0,7.0
IGARAPÉ DO MEIO,368.0,11.0
IGARAPÉ GRANDE,1197.0,11.0
IMPERATRIZ,11119.0,490.0
ITAIPAVA DO GRAJAÚ,540.0,6.0
ITAPECURU-MIRIM,1176.0,22.0
ITINGA DO MARANHÃO,685.0,21.0
JATOBÁ,84.0,5.0
JENIPAPO DOS VIEIRAS,963.0,14.0
JOÃO LISBOA,395.0,30.0
JOSELÂNDIA,488.0,1.0
JUNCO DO MARANHÃO,264.0,1.0
LAGO DA PEDRA,1706.0,55.0
LAGO DO JUNCO,311.0,3.0
LAGO DOS RODRIGUES,458.0,9.0
LAGO VERDE,535.0,8.0
LAGOA DO MATO,750.0,2.0
LAGOA GRANDE DO MARANHÃO,191.0,4.0
LAJEADO NOVO,332.0,9.0
LIMA CAMPOS,891.0,8.0
LORETO,507.0,4.0
LUÍS DOMINGUES,325.0,1.0
MAGALHÃES DE ALMEIDA,440.0,4.0
MARACAÇUMÉ,541.0,6.0
MARAJÁ DO SENA,179.0,3.0
MARANHÃOZINHO,510.0,5.0
MATA ROMA,349.0,10.0
MATINHA,309.0,5.0
MATÕES,743.0,11.0
MATÕES DO NORTE,235.0,1.0
MILAGRES DO MARANHÃO,239.0,1.0
MIRADOR,870.0,7.0
MIRANDA DO NORTE,516.0,16.0
MIRINZAL,155.0,8.0
MONÇÃO,1330.0,18.0
MONTES ALTOS,610.0,6.0
MORROS,179.0,8.0
NINA RODRIGUES,353.0,4.0
NOVA COLINAS,281.0,4.0
NOVA IORQUE,73.0,0.0
NOVA OLINDA DO MARANHÃO,373.0,6.0
OLHO D'ÁGUA DAS CUNHÃS,569.0,13.0
OLINDA NOVA DO MARANHÃO,355.0,8.0
PAÇO DO LUMIAR,742.0,101.0
PALMEIRÂNDIA,38.0,6.0
PARAIBANO,692.0,12.0
PARNARAMA,843.0,6.0
PASSAGEM FRANCA,1187.0,15.0
PASTOS BONS,667.0,6.0
PAULINO NEVES,168.0,3.0
PAULO RAMOS,918.0,23.0
PEDREIRAS,2122.0,45.0
PEDRO DO ROSÁRIO,90.0,4.0
PENALVA,390.0,9.0
PERI-MIRIM,192.0,4.0
PERITORÓ,373.0,7.0
PINDARÉ-MIRIM,781.0,18.0
PINHEIRO,2434.0,46.0
PIO XII,961.0,7.0
PIRAPEMAS,289.0,4.0
POÇÃO DE PEDRAS,1180.0,6.0
PORTO FRANCO,1143.0,24.0
PORTO RICO DO MARANHÃO,219.0,2.0
PRESIDENTE DUTRA,1573.0,12.0
PRESIDENTE JUSCELINO,30.0,0.0
PRESIDENTE MÉDICI,292.0,2.0
PRESIDENTE SARNEY,181.0,9.0
PRESIDENTE VARGAS,120.0,1.0
PRIMEIRA CRUZ,52.0,2.0
RAPOSA,492.0,16.0
RIACHÃO,1343.0,13.0
RIBAMAR FIQUENE,275.0,10.0
ROSÁRIO,394.0,14.0
SAMBAÍBA,311.0,3.0
SANTA FILOMENA DO MARANHÃO,50.0,0.0
SANTA HELENA,1687.0,10.0
SANTA INÊS,5330.0,97.0
SANTA LUZIA,3745.0,35.0
