municipio,confirmados,mortes
TOTAL NO ESTADO,221569,5412
Importados/Indefinidos,1821,39
Acari,787,12
Açu,4346,120
Afonso Bezerra,427,12
Água Nova,204,2
Alexandria,1025,13
Almino Afonso,349,10
Alto Do Rodrigues,1374,26
Angicos,575,14
Antônio Martins,343,3
Apodi,4545,63
Areia Branca,1873,78
Arês,711,20
Campo Grande,343,6
Baía Formosa,306,8
Baraúna,789,20
Barcelona,53,3
Bento Fernandes,93,2
Bodó,95,0
Bom Jesus,600,12
Brejinho,844,8
Caiçara Do Norte,289,9
Caiçara Do Rio Do Vento,207,7
Caicó,8758,106
Campo Redondo,521,10
Canguaretama,894,24
Caraúbas,1920,32
Carnaúba Dos Dantas,506,6
Carnaubais,539,8
Ceará-Mirim,2068,91
Cerro Corá,262,5
Coronel Ezequiel,207,3
Coronel João Pessoa,238,5
Cruzeta,1276,10
Currais Novos,2539,53
Doutor Severiano,480,14
Encanto,483,14
Equador,163,1
Espírito Santo,351,9
Extremoz,2412,51
Felipe Guerra,745,13
Fernando Pedroza,295,2
Florânia,959,12
Francisco Dantas,167,1
Frutuoso Gomes,350,3
Galinhos,271,0
Goianinha,1677,27
Governador Dix-Sept Rosado,858,15
Grossos,741,11
Guamaré,1282,43
Ielmo Marinho,256,6
Ipanguaçu,621,18
Ipueira,180,2
Itajá,411,5
Itaú,153,8
Jaçanã,647,4
Jandaíra,525,3
Janduís,390,5
Januário Cicco,152,6
Japi,132,1
Jardim De Angicos,93,1
Jardim De Piranhas,1354,29
Jardim Do Seridó,1298,19
João Câmara,2061,39
João Dias,130,1
José Da Penha,300,4
Jucurutu,1879,33
Jundiá,457,6
Lagoa D'Anta,224,6
Lagoa De Pedras,148,10
Lagoa De Velhos,168,5
Lagoa Nova,537,10
Lagoa Salgada,290,6
Lajes,557,6
Lajes Pintadas,278,6
Lucrécia,327,0
Luís Gomes,403,5
Macaíba,3369,130
Macau,913,32
Major Sales,171,7
Marcelino Vieira,546,11
Martins,223,1
Maxaranguape,362,6
Messias Targino,343,6
Montanhas,357,9
Monte Alegre,787,6
Monte Das Gameleiras,140,1
Mossoró,18228,428
Natal,59175,2112
Nísia Floresta,1503,29
Nova Cruz,986,41
Olho-D'Água Do Borges,568,4
Ouro Branco,353,4
Paraná,376,2
Paraú,462,9
Parazinho,306,7
Parelhas,1195,19
Parnamirim,21203,397
Passa E Fica,807,2
Passagem,161,2
Patu,1271,23
Pau Dos Ferros,2788,13
Pedra Grande,217,3
Pedra Preta,101,0
Pedro Avelino,211,4
Pedro Velho,442,6
Pendências,758,24
Pilões,246,3
Poço Branco,498,12
Portalegre,364,9
Porto Do Mangue,263,6
Pureza,334,11
Rafael Fernandes,316,2
Rafael Godeiro,371,1
Riacho Da Cruz,218,6
Riacho De Santana,134,0
Riachuelo,500,12
Rio Do Fogo,216,9
Rodolfo Fernandes,294,8
Ruy Barbosa,105,1
Santa Cruz,2873,51
Santa Maria,290,13
Santana Do Matos,359,9
Santana Do Seridó,160,0
Santo Antônio,1245,37
São Bento Do Norte,171,2
São Bento Do Trairí,125,3
São Fernando,260,5
São Francisco Do Oeste,280,4
São Gonçalo Do Amarante,6224,177
São João Do Sabugi,427,6
São José De Mipibu,2971,43
São José Do Campestre,702,23
São José Do Seridó,402,0
São Miguel,1717,22
São Miguel Do Gostoso,387,14
São Paulo Do Potengi,755,34
São Pedro,306,6
São Rafael,501,11
São Tomé,765,17
São Vicente,511,2
Senador Elói De Souza,152,3
Senador Georgino Avelino,132,4
Serra Caiada,366,7
Serra De São Bento,151,3
Serra Do Mel,354,14
Serra Negra Do Norte,682,10
Serrinha,289,5
Serrinha Dos Pintos,410,2
Severiano Melo,332,9
Sítio Novo,126,6
Taboleiro Grande,139,5
Taipu,443,12
Tangará,340,9
Tenente Ananias,764,17
Tenente Laurentino Cruz,498,3
Tibau,468,9
Tibau Do Sul,1361,10
Timbaúba Dos Batistas,243,2
Touros,806,27
Triunfo Potiguar,184,2
Umarizal,775,16
Upanema,781,13
Várzea,256,9
Venha-Ver,89,4
Vera Cruz,469,11
Viçosa,253,3
Vila Flor,162,0
