municipio,confirmados,obitos
TOTAL NO ESTADO,163141,2630
Palmas,39178,483
Araguaína,27635,365
Gurupi,9830,168
Porto Nacional,7651,158
Paraíso do Tocantins,7007,154
Colinas do Tocantins,6300,93
Guaraí,2635,59
Formoso do Araguaia,2459,43
Miranorte,2130,52
Xambioá,1941,24
Tocantinópolis,1906,35
Araguatins,1837,49
Miracema do Tocantins,1690,39
Lagoa da Confusão,1445,20
Ananás,1388,20
Augustinópolis,1336,24
Pedro Afonso,1285,20
Dianópolis,1143,23
Alvorada,1018,17
Axixá do Tocantins,988,16
Natividade,953,13
Palmeirópolis,875,20
Silvanópolis,866,23
Nova Olinda,819,35
Goiatins,808,9
Araguaçu,764,17
São Bento do Tocantins,753,7
Wanderlândia,723,11
Peixe,709,16
Itacajá,708,9
Divinópolis do Tocantins,692,6
Colméia,685,22
Buriti do Tocantins,682,8
Cariri do Tocantins,680,11
Ponte Alta do Tocantins,680,7
Barrolândia,678,19
Santa Fé do Araguaia,639,11
Tocantínia,625,10
Dois Irmãos do Tocantins,605,17
Sítio Novo do Tocantins,574,8
Figueirópolis,570,13
Babaçulândia,563,4
São Miguel do Tocantins,556,13
Esperantina,554,15
Aliança do Tocantins,552,20
Fátima,526,7
Aguiarnópolis,524,12
Taguatinga,514,12
Combinado,508,8
Darcinópolis,502,5
Palmeiras do Tocantins,499,5
Itaguatins,477,12
São Sebastião do Tocantins,475,4
Pequizeiro,462,9
Sampaio,460,4
Aragominas,457,8
Arraias,452,4
Palmeirante,451,7
Fortaleza do Tabocão,446,5
Araguacema,445,11
Caseara,439,11
Carrasco Bonito,429,3
Monte do Carmo,428,7
Nazaré,421,6
Arapoema,408,6
Bernardo Sayão,405,6
Filadélfia,393,5
Brejinho de Nazaré,392,9
Araguanã,384,12
Paranã,364,5
Pau D'Arco,347,7
Itaporã do Tocantins,344,3
Nova Rosalândia,331,8
Couto Magalhães,323,5
Itapiratins,322,3
Bandeirantes do Tocantins,320,4
Campos Lindos,319,3
São Valério,319,8
Muricilândia,317,2
Marianópolis do Tocantins,310,8
Aparecida do Rio Negro,298,5
Rio dos Bois,288,4
Presidente Kennedy,287,5
Dueré,280,9
Praia Norte,275,6
Sandolândia,273,6
Riachinho,267,4
Pium,263,4
Goianorte,262,6
Santa Rosa do Tocantins,261,3
Rio Sono,260,2
Cristalândia,256,9
Abreulândia,252,6
Ponte Alta do Bom Jesus,251,5
Santa Rita do Tocantins,248,1
Pindorama do Tocantins,237,1
Santa Tereza do Tocantins,221,4
Santa Maria do Tocantins,215,2
Pugmil,210,1
Carmolândia,208,3
Angico,207,3
Talismã,206,2
Recursolândia,196,4
Jaú do Tocantins,191,8
Almas,191,4
Centenário,187,6
Luzinópolis,186,2
Novo Acordo,179,3
Maurilândia do Tocantins,176,3
Sucupira,176,0
Novo Jardim,167,1
Aurora do Tocantins,167,2
Lagoa do Tocantins,159,6
Chapada da Natividade,148,1
São Salvador do Tocantins,147,2
Piraquê,146,1
Santa Terezinha do Tocantins,145,3
Tupirama,140,2
São Félix do Tocantins,139,1
Mateiros,136,0
Brasilândia do Tocantins,136,4
Monte Santo do Tocantins,129,6
Lizarda,126,3
Bom Jesus do Tocantins,123,2
Ipueiras,118,4
Cachoeirinha,117,2
Conceição do Tocantins,115,8
Barra do Ouro,114,5
Oliveira de Fátima,113,1
Lajeado,112,3
Taipas do Tocantins,111,0
Chapada de Areia,107,3
Crixás do Tocantins,106,0
Rio da Conceição,97,2
Porto Alegre do Tocantins,95,2
Juarina,88,2
Lavandeira,83,0
Tupiratins,69,1
Novo Alegre,53,2
